district_id,district_name,region,created_at,updated_at,created_by,updated_by
DIST-01,Bagalkot,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-02,Ballari,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-03,Belagavi,border,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-04,Bengaluru Rural,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-05,Bengaluru Urban,urban,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-06,Bidar,border,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-07,Chamarajanagar,border,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-08,Chikballapur,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-09,Chikkamagaluru,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-10,Chitradurga,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-11,Dakshina Kannada,urban,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-12,Davanagere,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-13,Dharwad,urban,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-14,Gadag,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-15,Hassan,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-16,Haveri,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-17,Kalaburagi,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-18,Kodagu,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-19,Kolar,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-20,Koppal,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-21,Mandya,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-22,Mysuru,urban,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-23,Raichur,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-24,Ramanagara,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-25,Shivamogga,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-26,Tumakuru,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-27,Udupi,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-28,Uttara Kannada,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-29,Vijayapura,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-30,Yadgir,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
DIST-31,Vijayanagara,rural,2026-07-15 02:35:45,2026-07-15 02:35:45,SYSTEM_SEED,SYSTEM_SEED
