accused_id,fir_id,role_in_case,date_added,warrant_status
ACC-02000,FIR-000001,primary,2021-01-25,ISSUED
ACC-00958,FIR-000002,primary,2021-01-16,NONE
ACC-03732,FIR-000003,primary,2021-02-05,NONE
ACC-02627,FIR-000004,primary,2021-02-13,ISSUED
ACC-03703,FIR-000004,secondary,2021-02-13,ISSUED
ACC-01179,FIR-000005,primary,2021-03-11,NONE
ACC-01526,FIR-000006,primary,2021-03-25,NONE
ACC-02657,FIR-000006,secondary,2021-03-25,PENDING
ACC-00700,FIR-000007,primary,2021-04-06,NONE
ACC-00713,FIR-000007,secondary,2021-04-06,EXECUTED
ACC-02216,FIR-000008,primary,2021-04-22,PENDING
ACC-01892,FIR-000009,primary,2021-05-23,ISSUED
ACC-00358,FIR-000010,primary,2021-05-05,NONE
ACC-04172,FIR-000011,primary,2021-06-01,PENDING
ACC-00628,FIR-000011,secondary,2021-06-01,NONE
ACC-03252,FIR-000012,primary,2021-06-23,ISSUED
ACC-00337,FIR-000013,primary,2021-07-25,ISSUED
ACC-01832,FIR-000014,primary,2021-07-18,NONE
ACC-00598,FIR-000015,primary,2021-08-16,NONE
ACC-01517,FIR-000016,primary,2021-08-18,NONE
ACC-01058,FIR-000016,secondary,2021-08-18,EXECUTED
ACC-02722,FIR-000017,primary,2021-09-11,NONE
ACC-01282,FIR-000017,secondary,2021-09-11,EXECUTED
ACC-04223,FIR-000018,primary,2021-09-20,NONE
ACC-04391,FIR-000019,primary,2021-10-26,ISSUED
ACC-00417,FIR-000020,primary,2021-10-04,NONE
ACC-01007,FIR-000020,secondary,2021-10-04,NONE
ACC-04033,FIR-000021,primary,2021-11-05,PENDING
ACC-01053,FIR-000022,primary,2021-11-07,NONE
ACC-00790,FIR-000022,secondary,2021-11-07,NONE
ACC-00090,FIR-000023,primary,2021-12-17,NONE
ACC-01442,FIR-000024,primary,2021-12-04,ISSUED
ACC-01447,FIR-000024,suspect,2021-12-04,NONE
ACC-01159,FIR-000025,primary,2022-01-05,NONE
ACC-02024,FIR-000026,primary,2022-01-27,NONE
ACC-00196,FIR-000027,primary,2022-02-03,NONE
ACC-02367,FIR-000027,suspect,2022-02-03,PENDING
ACC-03246,FIR-000028,primary,2022-02-27,NONE
ACC-01713,FIR-000029,primary,2022-03-24,NONE
ACC-02697,FIR-000030,primary,2022-03-21,NONE
ACC-03589,FIR-000031,primary,2022-04-07,PENDING
ACC-03464,FIR-000032,primary,2022-04-21,NONE
ACC-03978,FIR-000032,suspect,2022-04-21,NONE
ACC-03157,FIR-000032,secondary,2022-04-21,NONE
ACC-02193,FIR-000033,primary,2022-05-09,NONE
ACC-00006,FIR-000033,secondary,2022-05-09,NONE
ACC-03565,FIR-000033,secondary,2022-05-09,NONE
ACC-01746,FIR-000034,primary,2022-05-29,EXECUTED
ACC-01007,FIR-000034,secondary,2022-05-29,NONE
ACC-04069,FIR-000034,suspect,2022-05-29,NONE
ACC-01324,FIR-000035,primary,2022-06-24,ISSUED
ACC-03539,FIR-000036,primary,2022-06-05,NONE
ACC-04159,FIR-000037,primary,2022-07-27,NONE
ACC-01345,FIR-000037,secondary,2022-07-27,NONE
ACC-01994,FIR-000038,primary,2022-07-15,NONE
ACC-01231,FIR-000039,primary,2022-08-30,NONE
ACC-00797,FIR-000040,primary,2022-08-09,ISSUED
ACC-00408,FIR-000041,primary,2022-09-22,NONE
ACC-01437,FIR-000042,primary,2022-09-04,NONE
ACC-03257,FIR-000042,secondary,2022-09-04,NONE
ACC-04369,FIR-000043,primary,2022-10-15,ISSUED
