accused_id_1,accused_id_2,shared_fir_count,first_shared_fir_id,relationship_type
ACC-02627,ACC-03703,1,FIR-000004,co-accused
ACC-01526,ACC-02657,1,FIR-000006,co-accused
ACC-00700,ACC-00713,1,FIR-000007,co-accused
ACC-00628,ACC-04172,1,FIR-000011,co-accused
ACC-01058,ACC-01517,1,FIR-000016,co-accused
ACC-01282,ACC-02722,1,FIR-000017,co-accused
ACC-00417,ACC-01007,1,FIR-000020,co-accused
ACC-00790,ACC-01053,1,FIR-000022,co-accused
ACC-01442,ACC-01447,1,FIR-000024,co-accused
ACC-00196,ACC-02367,1,FIR-000027,co-accused
ACC-03157,ACC-03464,1,FIR-000032,co-accused
ACC-03157,ACC-03978,1,FIR-000032,co-accused
ACC-03464,ACC-03978,1,FIR-000032,co-accused
ACC-00006,ACC-02193,1,FIR-000033,co-accused
ACC-00006,ACC-03565,1,FIR-000033,co-accused
ACC-02193,ACC-03565,1,FIR-000033,co-accused
ACC-01007,ACC-01746,1,FIR-000034,co-accused
ACC-01007,ACC-04069,1,FIR-000034,co-accused
ACC-01746,ACC-04069,1,FIR-000034,co-accused
ACC-01345,ACC-04159,1,FIR-000037,co-accused
ACC-01437,ACC-03257,1,FIR-000042,co-accused
ACC-01799,ACC-02855,1,FIR-000046,co-accused
ACC-00253,ACC-00515,1,FIR-000052,co-accused
ACC-00253,ACC-00814,1,FIR-000052,co-accused
ACC-00515,ACC-00814,1,FIR-000052,co-accused
ACC-00858,ACC-03692,1,FIR-000053,co-accused
ACC-00198,ACC-02590,1,FIR-000055,co-accused
ACC-02997,ACC-03837,1,FIR-000059,co-accused
ACC-00699,ACC-03310,1,FIR-000061,co-accused
ACC-01662,ACC-02004,1,FIR-000062,co-accused
ACC-01936,ACC-02344,1,FIR-000066,co-accused
ACC-00628,ACC-03257,1,FIR-000069,co-accused
ACC-00628,ACC-03716,1,FIR-000069,co-accused
ACC-03257,ACC-03716,1,FIR-000069,co-accused
ACC-00515,ACC-01167,1,FIR-000080,co-accused
ACC-00858,ACC-01769,1,FIR-000082,co-accused
ACC-03717,ACC-04360,1,FIR-000083,co-accused
ACC-00372,ACC-03557,1,FIR-000085,co-accused
ACC-01788,ACC-03310,1,FIR-000090,co-accused
ACC-03376,ACC-04444,1,FIR-000092,co-accused
ACC-00226,ACC-01058,1,FIR-000098,co-accused
ACC-00226,ACC-03032,1,FIR-000098,co-accused
ACC-01058,ACC-03032,1,FIR-000098,co-accused
ACC-01662,ACC-03560,1,FIR-000100,co-accused
ACC-02015,ACC-04069,1,FIR-000102,co-accused
ACC-00072,ACC-02074,1,FIR-000103,co-accused
ACC-00072,ACC-03978,1,FIR-000103,co-accused
ACC-02074,ACC-03978,1,FIR-000103,co-accused
ACC-01616,ACC-03097,1,FIR-000110,co-accused
ACC-00072,ACC-00578,1,FIR-000112,co-accused
ACC-01432,ACC-04305,1,FIR-000115,co-accused
ACC-03941,ACC-04360,1,FIR-000116,co-accused
ACC-01404,ACC-02510,1,FIR-000119,co-accused
ACC-01405,ACC-03354,1,FIR-000122,co-accused
ACC-00170,ACC-01718,1,FIR-000129,co-accused
ACC-02909,ACC-03013,1,FIR-000131,co-accused
ACC-00203,ACC-00592,1,FIR-000139,co-accused
ACC-03850,ACC-04225,1,FIR-000146,co-accused
ACC-02536,ACC-03302,1,FIR-000152,co-accused
ACC-00951,ACC-01718,1,FIR-000159,co-accused
ACC-00951,ACC-04421,1,FIR-000159,co-accused
ACC-01718,ACC-04421,1,FIR-000159,co-accused
ACC-00295,ACC-02944,1,FIR-000161,co-accused
ACC-00203,ACC-01874,1,FIR-000166,co-accused
ACC-00203,ACC-03357,1,FIR-000166,co-accused
ACC-01874,ACC-03357,1,FIR-000166,co-accused
ACC-00028,ACC-01162,1,FIR-000168,co-accused
ACC-00405,ACC-00822,1,FIR-000169,co-accused
ACC-02615,ACC-03440,1,FIR-000171,co-accused
ACC-02867,ACC-03500,1,FIR-000172,co-accused
ACC-01418,ACC-03992,1,FIR-000175,co-accused
ACC-02516,ACC-03260,1,FIR-000179,co-accused
ACC-00930,ACC-04214,1,FIR-000181,co-accused
ACC-00957,ACC-03850,1,FIR-000187,co-accused
ACC-02855,ACC-03606,1,FIR-000193,co-accused
ACC-03455,ACC-03500,1,FIR-000194,co-accused
ACC-01634,ACC-03807,1,FIR-000196,co-accused
ACC-00555,ACC-02747,1,FIR-000198,co-accused
ACC-01555,ACC-03304,1,FIR-000200,co-accused
ACC-00555,ACC-02630,1,FIR-000203,co-accused
ACC-01460,ACC-03260,1,FIR-000205,co-accused
ACC-01460,ACC-03469,1,FIR-000205,co-accused
ACC-03260,ACC-03469,1,FIR-000205,co-accused
ACC-00295,ACC-00816,1,FIR-000206,co-accused
ACC-00789,ACC-02483,1,FIR-000209,co-accused
ACC-00233,ACC-00762,1,FIR-000214,co-accused
ACC-00233,ACC-02056,1,FIR-000214,co-accused
ACC-00762,ACC-02056,1,FIR-000214,co-accused
ACC-04122,ACC-04242,1,FIR-000216,co-accused
ACC-01092,ACC-03383,1,FIR-000218,co-accused
ACC-01175,ACC-02958,1,FIR-000219,co-accused
ACC-00951,ACC-03541,1,FIR-000226,co-accused
ACC-01342,ACC-01602,1,FIR-000228,co-accused
ACC-00048,ACC-00372,1,FIR-000239,co-accused
ACC-00048,ACC-02996,1,FIR-000239,co-accused
ACC-00372,ACC-02996,1,FIR-000239,co-accused
ACC-02375,ACC-04336,1,FIR-000240,co-accused
ACC-00168,ACC-00727,1,FIR-000242,co-accused
ACC-00202,ACC-03641,1,FIR-000245,co-accused
ACC-01487,ACC-03612,1,FIR-000255,co-accused
ACC-00920,ACC-02414,1,FIR-000266,co-accused
ACC-03093,ACC-03185,1,FIR-000275,co-accused
ACC-01486,ACC-04373,1,FIR-000277,co-accused
ACC-02396,ACC-04460,1,FIR-000279,co-accused
ACC-02149,ACC-03232,1,FIR-000280,co-accused
ACC-00669,ACC-02414,1,FIR-000287,co-accused
ACC-00353,ACC-01834,1,FIR-000294,co-accused
ACC-00389,ACC-00718,1,FIR-000300,co-accused
ACC-00389,ACC-00754,1,FIR-000300,co-accused
ACC-00718,ACC-00754,1,FIR-000300,co-accused
ACC-03673,ACC-03814,1,FIR-000306,co-accused
ACC-01180,ACC-02016,1,FIR-000314,co-accused
ACC-00842,ACC-04217,1,FIR-000316,co-accused
ACC-01820,ACC-03221,1,FIR-000329,co-accused
ACC-01853,ACC-03991,1,FIR-000337,co-accused
ACC-02140,ACC-02505,1,FIR-000342,co-accused
ACC-00512,ACC-01487,1,FIR-000345,co-accused
ACC-02265,ACC-03428,1,FIR-000348,co-accused
ACC-00371,ACC-03232,1,FIR-000352,co-accused
ACC-03221,ACC-03325,1,FIR-000357,co-accused
ACC-00842,ACC-02366,1,FIR-000360,co-accused
ACC-00472,ACC-00508,1,FIR-000362,co-accused
ACC-00472,ACC-02244,1,FIR-000362,co-accused
ACC-00508,ACC-02244,1,FIR-000362,co-accused
ACC-00485,ACC-03261,1,FIR-000365,co-accused
ACC-00562,ACC-01616,1,FIR-000366,co-accused
ACC-00335,ACC-02659,1,FIR-000367,co-accused
ACC-00894,ACC-02299,1,FIR-000368,co-accused
ACC-02032,ACC-03992,1,FIR-000378,co-accused
ACC-02399,ACC-03879,1,FIR-000379,co-accused
ACC-01605,ACC-02161,1,FIR-000380,co-accused
ACC-01883,ACC-03044,1,FIR-000382,co-accused
ACC-01883,ACC-03251,1,FIR-000382,co-accused
ACC-03044,ACC-03251,1,FIR-000382,co-accused
ACC-02428,ACC-03630,1,FIR-000390,co-accused
ACC-01712,ACC-02645,1,FIR-000393,co-accused
ACC-01712,ACC-04086,1,FIR-000393,co-accused
ACC-02645,ACC-04086,1,FIR-000393,co-accused
ACC-02234,ACC-03033,1,FIR-000399,co-accused
ACC-00916,ACC-01238,1,FIR-000401,co-accused
ACC-01455,ACC-03251,1,FIR-000404,co-accused
ACC-01455,ACC-03530,1,FIR-000404,co-accused
ACC-03251,ACC-03530,1,FIR-000404,co-accused
ACC-01926,ACC-02942,1,FIR-000410,co-accused
ACC-00720,ACC-02399,1,FIR-000411,co-accused
ACC-02942,ACC-04097,1,FIR-000418,co-accused
ACC-01404,ACC-02181,1,FIR-000419,co-accused
ACC-01823,ACC-02486,1,FIR-000421,co-accused
ACC-02645,ACC-03570,1,FIR-000423,co-accused
ACC-01218,ACC-02026,1,FIR-000426,co-accused
ACC-02926,ACC-03516,1,FIR-000432,co-accused
ACC-02926,ACC-03939,1,FIR-000432,co-accused
ACC-03516,ACC-03939,1,FIR-000432,co-accused
ACC-03008,ACC-03011,1,FIR-000434,co-accused
ACC-03008,ACC-04155,1,FIR-000434,co-accused
ACC-03011,ACC-04155,1,FIR-000434,co-accused
ACC-01894,ACC-02561,1,FIR-000435,co-accused
ACC-02332,ACC-03530,1,FIR-000436,co-accused
ACC-01782,ACC-02920,1,FIR-000440,co-accused
ACC-01317,ACC-03416,1,FIR-000447,co-accused
ACC-03416,ACC-04099,1,FIR-000449,co-accused
ACC-01217,ACC-04263,1,FIR-000452,co-accused
ACC-03015,ACC-03777,1,FIR-000453,co-accused
ACC-00267,ACC-01352,1,FIR-000454,co-accused
ACC-01445,ACC-02659,1,FIR-000455,co-accused
ACC-01445,ACC-04155,1,FIR-000455,co-accused
ACC-02659,ACC-04155,1,FIR-000455,co-accused
ACC-01894,ACC-01957,1,FIR-000465,co-accused
ACC-01894,ACC-02331,1,FIR-000465,co-accused
ACC-01957,ACC-02331,1,FIR-000465,co-accused
ACC-02105,ACC-04453,1,FIR-000467,co-accused
ACC-00344,ACC-02428,1,FIR-000468,co-accused
ACC-00661,ACC-03054,1,FIR-000472,co-accused
ACC-01313,ACC-01585,1,FIR-000474,co-accused
ACC-00300,ACC-01151,1,FIR-000476,co-accused
ACC-01712,ACC-01822,1,FIR-000477,co-accused
ACC-01524,ACC-02409,1,FIR-000478,co-accused
ACC-00435,ACC-02675,1,FIR-000479,co-accused
ACC-00427,ACC-03243,1,FIR-000483,co-accused
ACC-00576,ACC-00686,1,FIR-000486,co-accused
ACC-03653,ACC-04259,1,FIR-000487,co-accused
ACC-01490,ACC-03986,1,FIR-000489,co-accused
ACC-01666,ACC-02064,1,FIR-000494,co-accused
ACC-00673,ACC-02210,1,FIR-000495,co-accused
ACC-02917,ACC-04372,1,FIR-000502,co-accused
ACC-03146,ACC-03637,1,FIR-000504,co-accused
ACC-01199,ACC-02721,1,FIR-000507,co-accused
ACC-01839,ACC-03484,1,FIR-000510,co-accused
ACC-00754,ACC-02948,1,FIR-000511,co-accused
ACC-02314,ACC-02514,1,FIR-000513,co-accused
ACC-00740,ACC-01651,1,FIR-000521,co-accused
ACC-00740,ACC-04199,1,FIR-000521,co-accused
ACC-01651,ACC-04199,1,FIR-000521,co-accused
ACC-00500,ACC-00810,1,FIR-000525,co-accused
ACC-01547,ACC-01611,1,FIR-000530,co-accused
ACC-01547,ACC-04204,1,FIR-000530,co-accused
ACC-01611,ACC-04204,1,FIR-000530,co-accused
ACC-01987,ACC-04288,1,FIR-000535,co-accused
ACC-01906,ACC-03129,1,FIR-000537,co-accused
ACC-00551,ACC-04295,1,FIR-000541,co-accused
ACC-00800,ACC-02445,1,FIR-000542,co-accused
ACC-02653,ACC-04456,1,FIR-000544,co-accused
ACC-01439,ACC-01989,1,FIR-000546,co-accused
ACC-01623,ACC-04213,1,FIR-000553,co-accused
ACC-00810,ACC-02443,1,FIR-000554,co-accused
ACC-00253,ACC-03498,1,FIR-000558,co-accused
ACC-03263,ACC-04224,1,FIR-000566,co-accused
ACC-01333,ACC-02302,1,FIR-000568,co-accused
ACC-00624,ACC-04288,1,FIR-000570,co-accused
ACC-01144,ACC-03919,1,FIR-000572,co-accused
ACC-03586,ACC-04306,1,FIR-000583,co-accused
ACC-01623,ACC-03103,1,FIR-000597,co-accused
ACC-03497,ACC-03981,1,FIR-000601,co-accused
ACC-01999,ACC-03567,1,FIR-000602,co-accused
ACC-02941,ACC-03091,1,FIR-000617,co-accused
ACC-02993,ACC-04061,1,FIR-000620,co-accused
ACC-02502,ACC-03217,1,FIR-000621,co-accused
ACC-01831,ACC-02638,1,FIR-000623,co-accused
ACC-01350,ACC-02451,1,FIR-000625,co-accused
ACC-01350,ACC-02714,1,FIR-000625,co-accused
ACC-02451,ACC-02714,1,FIR-000625,co-accused
ACC-02496,ACC-02773,1,FIR-000631,co-accused
ACC-00093,ACC-03096,1,FIR-000632,co-accused
ACC-00264,ACC-04252,1,FIR-000643,co-accused
ACC-01184,ACC-03071,1,FIR-000644,co-accused
ACC-01184,ACC-03124,1,FIR-000644,co-accused
ACC-03071,ACC-03124,1,FIR-000644,co-accused
ACC-00730,ACC-03564,1,FIR-000646,co-accused
ACC-01566,ACC-03703,1,FIR-000656,co-accused
ACC-01117,ACC-01831,1,FIR-000659,co-accused
ACC-02705,ACC-04046,1,FIR-000661,co-accused
ACC-00254,ACC-02171,1,FIR-000665,co-accused
ACC-03459,ACC-04164,1,FIR-000668,co-accused
ACC-00716,ACC-03510,1,FIR-000670,co-accused
ACC-00716,ACC-04263,1,FIR-000670,co-accused
ACC-03510,ACC-04263,1,FIR-000670,co-accused
ACC-00273,ACC-01350,1,FIR-000671,co-accused
ACC-03568,ACC-03902,1,FIR-000674,co-accused
ACC-01023,ACC-04083,1,FIR-000681,co-accused
ACC-00298,ACC-02733,1,FIR-000691,co-accused
ACC-01651,ACC-02588,1,FIR-000698,co-accused
ACC-00716,ACC-02025,1,FIR-000699,co-accused
ACC-00630,ACC-02413,1,FIR-000701,co-accused
ACC-01488,ACC-03185,1,FIR-000702,co-accused
ACC-02252,ACC-03512,1,FIR-000704,co-accused
ACC-01630,ACC-02815,1,FIR-000710,co-accused
ACC-00338,ACC-01946,1,FIR-000711,co-accused
ACC-01184,ACC-02202,1,FIR-000717,co-accused
ACC-03228,ACC-03993,1,FIR-000724,co-accused
ACC-01490,ACC-02482,1,FIR-000726,co-accused
ACC-02171,ACC-02456,1,FIR-000734,co-accused
ACC-00427,ACC-01257,1,FIR-000740,co-accused
ACC-00427,ACC-02356,1,FIR-000740,co-accused
ACC-01257,ACC-02356,1,FIR-000740,co-accused
ACC-02249,ACC-03463,1,FIR-000741,co-accused
ACC-01556,ACC-02314,1,FIR-000742,co-accused
ACC-01556,ACC-02340,1,FIR-000742,co-accused
ACC-02314,ACC-02340,1,FIR-000742,co-accused
ACC-00189,ACC-01112,1,FIR-000745,co-accused
ACC-00458,ACC-01201,1,FIR-000747,co-accused
ACC-00458,ACC-03175,1,FIR-000747,co-accused
ACC-01201,ACC-03175,1,FIR-000747,co-accused
ACC-01182,ACC-03209,1,FIR-000748,co-accused
ACC-00456,ACC-02177,1,FIR-000751,co-accused
ACC-01248,ACC-03417,1,FIR-000753,co-accused
ACC-00646,ACC-02474,1,FIR-000757,co-accused
ACC-00504,ACC-04052,1,FIR-000758,co-accused
ACC-02883,ACC-02886,1,FIR-000763,co-accused
ACC-00840,ACC-03107,1,FIR-000765,co-accused
ACC-00183,ACC-03709,1,FIR-000774,co-accused
ACC-01201,ACC-01210,1,FIR-000775,co-accused
ACC-01201,ACC-04052,1,FIR-000775,co-accused
ACC-01210,ACC-04052,1,FIR-000775,co-accused
ACC-01020,ACC-03378,1,FIR-000781,co-accused
ACC-00726,ACC-02331,1,FIR-000782,co-accused
ACC-00726,ACC-02396,1,FIR-000782,co-accused
ACC-02331,ACC-02396,1,FIR-000782,co-accused
ACC-00357,ACC-01676,1,FIR-000791,co-accused
ACC-00357,ACC-02167,1,FIR-000791,co-accused
ACC-01676,ACC-02167,1,FIR-000791,co-accused
ACC-00670,ACC-03248,1,FIR-000793,co-accused
ACC-00085,ACC-01857,1,FIR-000796,co-accused
ACC-00601,ACC-02010,1,FIR-000797,co-accused
ACC-00272,ACC-00895,1,FIR-000800,co-accused
ACC-01339,ACC-01751,1,FIR-000802,co-accused
ACC-01048,ACC-04148,1,FIR-000803,co-accused
ACC-00930,ACC-02480,1,FIR-000804,co-accused
ACC-00829,ACC-01836,1,FIR-000805,co-accused
ACC-00829,ACC-04164,1,FIR-000805,co-accused
ACC-01836,ACC-04164,1,FIR-000805,co-accused
ACC-00895,ACC-00905,1,FIR-000812,co-accused
ACC-00442,ACC-01054,1,FIR-000813,co-accused
ACC-00353,ACC-01664,1,FIR-000814,co-accused
ACC-01182,ACC-04440,1,FIR-000815,co-accused
ACC-01798,ACC-03415,1,FIR-000819,co-accused
ACC-00260,ACC-01597,1,FIR-000820,co-accused
ACC-00861,ACC-02010,1,FIR-000827,co-accused
ACC-00861,ACC-02340,1,FIR-000827,co-accused
ACC-02010,ACC-02340,1,FIR-000827,co-accused
ACC-00913,ACC-04197,1,FIR-000828,co-accused
ACC-00167,ACC-00477,1,FIR-000830,co-accused
ACC-00579,ACC-00854,1,FIR-000833,co-accused
ACC-01254,ACC-02701,1,FIR-000835,co-accused
ACC-00771,ACC-01248,1,FIR-000838,co-accused
ACC-01867,ACC-02666,1,FIR-000839,co-accused
ACC-02107,ACC-03839,1,FIR-000841,co-accused
ACC-00183,ACC-03070,1,FIR-000842,co-accused
ACC-00183,ACC-03474,1,FIR-000842,co-accused
ACC-03070,ACC-03474,1,FIR-000842,co-accused
ACC-00440,ACC-02807,1,FIR-000849,co-accused
ACC-01638,ACC-03432,1,FIR-000853,co-accused
ACC-01048,ACC-03296,1,FIR-000857,co-accused
ACC-00043,ACC-02267,1,FIR-000858,co-accused
ACC-00654,ACC-01640,1,FIR-000862,co-accused
ACC-01690,ACC-02177,1,FIR-000865,co-accused
ACC-01690,ACC-04112,1,FIR-000865,co-accused
ACC-02177,ACC-04112,1,FIR-000865,co-accused
ACC-02295,ACC-02394,1,FIR-000869,co-accused
ACC-01239,ACC-01690,1,FIR-000874,co-accused
ACC-01307,ACC-03673,1,FIR-000876,co-accused
ACC-01436,ACC-03036,1,FIR-000880,co-accused
ACC-01436,ACC-04075,1,FIR-000880,co-accused
ACC-03036,ACC-04075,1,FIR-000880,co-accused
ACC-00640,ACC-03397,1,FIR-000883,co-accused
ACC-00926,ACC-01434,1,FIR-000884,co-accused
ACC-00926,ACC-01775,1,FIR-000884,co-accused
ACC-01434,ACC-01775,1,FIR-000884,co-accused
ACC-00526,ACC-01900,1,FIR-000885,co-accused
ACC-00267,ACC-03577,1,FIR-000892,co-accused
ACC-01052,ACC-03494,1,FIR-000894,co-accused
ACC-00998,ACC-04292,1,FIR-000896,co-accused
ACC-03236,ACC-03494,1,FIR-000897,co-accused
ACC-00812,ACC-01818,1,FIR-000899,co-accused
ACC-01047,ACC-03425,1,FIR-000904,co-accused
ACC-00215,ACC-01638,1,FIR-000910,co-accused
ACC-02393,ACC-03918,1,FIR-000913,co-accused
ACC-00005,ACC-04292,1,FIR-000917,co-accused
ACC-02937,ACC-03186,1,FIR-000918,co-accused
ACC-01780,ACC-04209,1,FIR-000919,co-accused
ACC-00812,ACC-00959,1,FIR-000921,co-accused
ACC-03425,ACC-04183,1,FIR-000924,co-accused
ACC-01436,ACC-02622,1,FIR-000925,co-accused
ACC-00574,ACC-02631,1,FIR-000928,co-accused
ACC-02825,ACC-02926,1,FIR-000929,co-accused
ACC-00262,ACC-04044,1,FIR-000932,co-accused
ACC-00574,ACC-00634,1,FIR-000935,co-accused
ACC-00574,ACC-01276,1,FIR-000935,co-accused
ACC-00634,ACC-01276,1,FIR-000935,co-accused
ACC-01753,ACC-02444,1,FIR-000936,co-accused
ACC-00636,ACC-03578,1,FIR-000937,co-accused
ACC-01243,ACC-03352,1,FIR-000941,co-accused
ACC-01112,ACC-03921,1,FIR-000942,co-accused
ACC-00857,ACC-01775,1,FIR-000946,co-accused
ACC-01393,ACC-02584,1,FIR-000950,co-accused
ACC-00262,ACC-01078,1,FIR-000951,co-accused
ACC-00262,ACC-02742,1,FIR-000951,co-accused
ACC-01078,ACC-02742,1,FIR-000951,co-accused
ACC-01900,ACC-02424,1,FIR-000952,co-accused
ACC-00758,ACC-01385,1,FIR-000954,co-accused
ACC-00719,ACC-03893,1,FIR-000958,co-accused
ACC-01243,ACC-04365,1,FIR-000959,co-accused
