phone_id_1,phone_id_2,contact_date,contact_count,link_fir_ids
PHN-00089,PHN-01525,2021-03-07,2,FIR-001703|FIR-003504
PHN-01619,PHN-01456,2021-10-20,3,FIR-000896|FIR-002770
PHN-01002,PHN-00404,2025-11-03,7,FIR-000105|FIR-001164|FIR-001176
PHN-00336,PHN-00433,2023-05-30,25,FIR-001200|FIR-002372|FIR-002416
PHN-00070,PHN-01724,2024-08-26,3,FIR-002972|FIR-003633
PHN-00754,PHN-01956,2022-03-19,20,FIR-003414|FIR-003513
PHN-00268,PHN-02138,2024-03-30,19,FIR-000020|FIR-000553
PHN-01208,PHN-01238,2025-05-26,6,FIR-001875|FIR-002097|FIR-002285
PHN-01141,PHN-02097,2022-03-03,5,FIR-000114|FIR-001305
PHN-02107,PHN-01517,2022-03-20,19,FIR-000741|FIR-003252
PHN-00715,PHN-01574,2024-10-26,17,FIR-000263|FIR-000920
PHN-01550,PHN-01001,2025-01-02,15,FIR-001013|FIR-002761
PHN-00374,PHN-00694,2025-08-29,23,FIR-001549|FIR-001585
PHN-00399,PHN-01294,2022-07-28,22,FIR-000896|FIR-000917|FIR-001098
PHN-01553,PHN-01374,2024-08-12,10,FIR-000077|FIR-003471|FIR-003483
PHN-01224,PHN-00538,2022-11-04,4,FIR-001432|FIR-003364
PHN-02150,PHN-00242,2025-10-26,6,FIR-001659|FIR-002823|FIR-003698
PHN-02178,PHN-00262,2021-10-27,15,FIR-001010|FIR-002547|FIR-002595
PHN-00386,PHN-02016,2023-05-12,21,FIR-000009|FIR-000057
PHN-00401,PHN-01330,2024-11-07,22,FIR-002038|FIR-003661
PHN-01704,PHN-00057,2021-01-06,15,FIR-002711|FIR-003519
PHN-01849,PHN-00657,2025-07-23,18,FIR-000794|FIR-003290
PHN-00793,PHN-00852,2023-05-09,14,FIR-001359|FIR-003040|FIR-003403
PHN-00983,PHN-01797,2021-01-16,15,FIR-000799|FIR-001976
PHN-00248,PHN-01276,2024-11-30,13,FIR-000489|FIR-000726|FIR-003149
PHN-00636,PHN-00405,2022-08-19,10,FIR-000074|FIR-000773
PHN-01948,PHN-01193,2024-08-21,22,FIR-002222|FIR-003477|FIR-003496
PHN-00764,PHN-02025,2021-09-18,25,FIR-000806|FIR-003567
PHN-00759,PHN-00185,2021-01-08,15,FIR-000055|FIR-002750
PHN-01138,PHN-01793,2021-03-18,16,FIR-000294|FIR-000814|FIR-002114
PHN-01094,PHN-01978,2023-09-29,4,FIR-000067|FIR-002342
PHN-00117,PHN-01425,2022-04-19,21,FIR-000951|FIR-002132|FIR-002477
PHN-00675,PHN-01390,2023-01-30,22,FIR-001361|FIR-003515
PHN-01814,PHN-00449,2024-03-18,20,FIR-000127|FIR-002901
PHN-00048,PHN-00836,2021-11-16,24,FIR-002573|FIR-003243
PHN-01520,PHN-01799,2022-04-26,8,FIR-001906|FIR-003660
PHN-00525,PHN-00017,2021-06-30,6,FIR-001567|FIR-003488
PHN-00173,PHN-00736,2024-01-26,20,FIR-001903|FIR-002109
PHN-00237,PHN-00243,2024-04-09,17,FIR-001313|FIR-002275
PHN-01565,PHN-01473,2022-10-10,4,FIR-000528|FIR-003663
PHN-02217,PHN-00255,2021-07-01,17,FIR-000367|FIR-003142
PHN-01523,PHN-00512,2025-02-23,14,FIR-001000|FIR-001076|FIR-003413
PHN-00875,PHN-00766,2025-02-14,22,FIR-000439|FIR-001439
PHN-01429,PHN-00767,2025-11-22,1,FIR-001727|FIR-002435
PHN-00281,PHN-01269,2022-12-13,9,FIR-001217|FIR-002121|FIR-002170
PHN-01932,PHN-01190,2021-09-18,7,FIR-000260|FIR-000464
