fir_id,officer_id,assigned_date,is_lead_officer
FIR-000001,OFF-0063,2021-01-25,True
FIR-000002,OFF-0032,2021-01-16,True
FIR-000003,OFF-0063,2021-02-05,True
FIR-000004,OFF-0063,2021-02-13,True
FIR-000005,OFF-0125,2021-03-11,True
FIR-000006,OFF-0125,2021-03-25,True
FIR-000007,OFF-0125,2021-04-06,True
FIR-000008,OFF-0032,2021-04-22,True
FIR-000009,OFF-0032,2021-05-23,True
FIR-000010,OFF-0125,2021-05-05,True
FIR-000011,OFF-0125,2021-06-01,True
FIR-000012,OFF-0125,2021-06-23,True
FIR-000013,OFF-0032,2021-07-25,True
FIR-000014,OFF-0001,2021-07-18,True
FIR-000015,OFF-0125,2021-08-16,True
FIR-000016,OFF-0063,2021-08-18,True
FIR-000017,OFF-0001,2021-09-11,True
FIR-000018,OFF-0125,2021-09-20,True
FIR-000019,OFF-0032,2021-10-26,True
FIR-000020,OFF-0001,2021-10-04,True
FIR-000021,OFF-0125,2021-11-05,True
FIR-000022,OFF-0125,2021-11-07,True
FIR-000023,OFF-0032,2021-12-17,True
FIR-000024,OFF-0125,2021-12-04,True
FIR-000025,OFF-0125,2022-01-05,True
FIR-000026,OFF-0063,2022-01-27,True
FIR-000027,OFF-0001,2022-02-03,True
FIR-000028,OFF-0001,2022-02-27,True
FIR-000029,OFF-0125,2022-03-24,True
FIR-000030,OFF-0032,2022-03-21,True
FIR-000031,OFF-0125,2022-04-07,True
FIR-000032,OFF-0032,2022-04-21,True
FIR-000033,OFF-0032,2022-05-09,True
FIR-000034,OFF-0001,2022-05-29,True
FIR-000035,OFF-0125,2022-06-24,True
FIR-000036,OFF-0125,2022-06-05,True
FIR-000037,OFF-0063,2022-07-27,True
FIR-000038,OFF-0001,2022-07-15,True
FIR-000039,OFF-0032,2022-08-30,True
FIR-000040,OFF-0125,2022-08-09,True
FIR-000041,OFF-0001,2022-09-22,True
FIR-000042,OFF-0063,2022-09-04,True
FIR-000043,OFF-0063,2022-10-15,True
FIR-000044,OFF-0063,2022-10-03,True
FIR-000045,OFF-0063,2022-11-20,True
FIR-000046,OFF-0001,2022-11-15,True
FIR-000047,OFF-0032,2022-12-25,True
FIR-000048,OFF-0001,2022-12-09,True
FIR-000049,OFF-0063,2023-01-07,True
FIR-000050,OFF-0125,2023-01-25,True
FIR-000051,OFF-0063,2023-02-03,True
FIR-000052,OFF-0001,2023-02-14,True
FIR-000053,OFF-0063,2023-03-22,True
FIR-000054,OFF-0063,2023-03-09,True
FIR-000055,OFF-0063,2023-04-19,True
FIR-000056,OFF-0001,2023-04-09,True
FIR-000057,OFF-0063,2023-05-15,True
FIR-000058,OFF-0032,2023-05-16,True
FIR-000059,OFF-0032,2023-06-14,True
FIR-000060,OFF-0032,2023-06-11,True
FIR-000061,OFF-0063,2023-07-09,True
FIR-000062,OFF-0125,2023-07-12,True
FIR-000063,OFF-0001,2023-08-07,True
FIR-000064,OFF-0032,2023-08-10,True
FIR-000065,OFF-0032,2023-09-23,True
FIR-000066,OFF-0032,2023-09-19,True
FIR-000067,OFF-0063,2023-10-12,True
FIR-000068,OFF-0001,2023-10-20,True
FIR-000069,OFF-0001,2023-11-19,True
FIR-000070,OFF-0125,2023-11-28,True
FIR-000071,OFF-0063,2023-12-04,True
FIR-000072,OFF-0125,2023-12-30,True
FIR-000073,OFF-0032,2024-01-15,True
FIR-000074,OFF-0125,2024-01-05,True
FIR-000075,OFF-0032,2024-02-26,True
