fir_id,location_id,exact_address,landmark
FIR-000001,LOC-00009,"Near LOC-00009, Bagalkot",Petrol Bunk
FIR-000002,LOC-00026,"Near LOC-00026, Bagalkot",Temple
FIR-000003,LOC-00006,"Near LOC-00006, Bagalkot",Circle
FIR-000004,LOC-00007,"Near LOC-00007, Bagalkot",School
FIR-000005,LOC-00008,"Near LOC-00008, Bagalkot",Petrol Bunk
FIR-000006,LOC-00017,"Near LOC-00017, Bagalkot",School
FIR-000007,LOC-00023,"Near LOC-00023, Bagalkot",Temple
FIR-000008,LOC-00007,"Near LOC-00007, Bagalkot",School
FIR-000009,LOC-00005,"Near LOC-00005, Bagalkot",Market
FIR-000010,LOC-00027,"Near LOC-00027, Bagalkot",Petrol Bunk
FIR-000011,LOC-00017,"Near LOC-00017, Bagalkot",Bus Stand
FIR-000012,LOC-00001,"Near LOC-00001, Bagalkot",School
FIR-000013,LOC-00006,"Near LOC-00006, Bagalkot",Market
FIR-000014,LOC-00016,"Near LOC-00016, Bagalkot",Market
FIR-000015,LOC-00020,"Near LOC-00020, Bagalkot",Temple
FIR-000016,LOC-00005,"Near LOC-00005, Bagalkot",Bus Stand
FIR-000017,LOC-00024,"Near LOC-00024, Bagalkot",Bus Stand
FIR-000018,LOC-00007,"Near LOC-00007, Bagalkot",School
FIR-000019,LOC-00004,"Near LOC-00004, Bagalkot",Circle
FIR-000020,LOC-00005,"Near LOC-00005, Bagalkot",Temple
FIR-000021,LOC-00028,"Near LOC-00028, Bagalkot",Circle
FIR-000022,LOC-00025,"Near LOC-00025, Bagalkot",Temple
FIR-000023,LOC-00017,"Near LOC-00017, Bagalkot",Temple
FIR-000024,LOC-00024,"Near LOC-00024, Bagalkot",Circle
FIR-000025,LOC-00017,"Near LOC-00017, Bagalkot",Petrol Bunk
FIR-000026,LOC-00019,"Near LOC-00019, Bagalkot",Bus Stand
FIR-000027,LOC-00008,"Near LOC-00008, Bagalkot",Temple
FIR-000028,LOC-00007,"Near LOC-00007, Bagalkot",Petrol Bunk
