fir_id,type_id,primary_section
FIR-000001,CT-009,IPC 394
FIR-000002,CT-024,IPC 379
FIR-000003,CT-042,IPC 457
FIR-000004,CT-041,IPC 354D
FIR-000005,CT-037,IPC 498A
FIR-000006,CT-004,IPC 392
FIR-000007,CT-014,IPC 498A
FIR-000008,CT-014,IPC 498A
FIR-000009,CT-026,IPC 353
FIR-000010,CT-031,IPC 406
FIR-000011,CT-029,IPC 420
FIR-000012,CT-009,IPC 394
FIR-000013,CT-031,IPC 406
FIR-000014,CT-024,IPC 379
FIR-000015,CT-019,IPC 379
FIR-000016,CT-027,IPC 307
FIR-000017,CT-015,IPC 304B
FIR-000018,CT-018,IPC 427
FIR-000019,CT-020,IPC 379
FIR-000020,CT-022,IPC 379
FIR-000021,CT-003,IPC 379
FIR-000022,CT-020,IPC 379
FIR-000023,CT-026,IPC 353
FIR-000024,CT-015,IPC 304B
FIR-000025,CT-024,IPC 379
FIR-000026,CT-003,IPC 379
FIR-000027,CT-024,IPC 379
FIR-000028,CT-029,IPC 420
FIR-000029,CT-031,IPC 406
FIR-000030,CT-006,IPC 454
FIR-000031,CT-019,IPC 379
FIR-000032,CT-032,IPC 392
FIR-000033,CT-032,IPC 392
FIR-000034,CT-001,IPC 379
FIR-000035,CT-008,IPC 325
FIR-000036,CT-011,IPC 468
FIR-000037,CT-037,IPC 498A
FIR-000038,CT-008,IPC 325
FIR-000039,CT-042,IPC 457
FIR-000040,CT-022,IPC 379
FIR-000041,CT-022,IPC 379
FIR-000042,CT-015,IPC 304B
FIR-000043,CT-023,IPC 379
FIR-000044,CT-003,IPC 379
FIR-000045,CT-033,IPC 384
FIR-000046,CT-011,IPC 468
FIR-000047,CT-001,IPC 379
FIR-000048,CT-021,IPC 379
FIR-000049,CT-023,IPC 379
FIR-000050,CT-021,IPC 379
FIR-000051,CT-014,IPC 498A
FIR-000052,CT-005,IPC 395
FIR-000053,CT-010,IPC 420
FIR-000054,CT-020,IPC 379
FIR-000055,CT-023,IPC 379
FIR-000056,CT-029,IPC 420
FIR-000057,CT-006,IPC 454
FIR-000058,CT-020,IPC 379
FIR-000059,CT-009,IPC 394
FIR-000060,CT-023,IPC 379
FIR-000061,CT-020,IPC 379
FIR-000062,CT-041,IPC 354D
FIR-000063,CT-022,IPC 379
FIR-000064,CT-019,IPC 379
FIR-000065,CT-008,IPC 325
FIR-000066,CT-034,IPC 393
FIR-000067,CT-011,IPC 468
FIR-000068,CT-035,IPC 498A
FIR-000069,CT-036,IPC 3
FIR-000070,CT-010,IPC 420
FIR-000071,CT-011,IPC 468
FIR-000072,CT-032,IPC 392
FIR-000073,CT-036,IPC 3
FIR-000074,CT-028,IPC 506
FIR-000075,CT-037,IPC 498A
FIR-000076,CT-020,IPC 379
FIR-000077,CT-034,IPC 393
FIR-000078,CT-021,IPC 379
FIR-000079,CT-003,IPC 379
FIR-000080,CT-008,IPC 325
FIR-000081,CT-019,IPC 379
FIR-000082,CT-005,IPC 395
FIR-000083,CT-020,IPC 379
FIR-000084,CT-008,IPC 325
FIR-000085,CT-025,BNS TBD - verify
FIR-000086,CT-022,BNS TBD - verify
FIR-000087,CT-021,BNS TBD - verify
FIR-000088,CT-037,BNS TBD - verify
FIR-000089,CT-028,BNS TBD - verify
FIR-000090,CT-043,BNS TBD - verify
FIR-000091,CT-037,BNS TBD - verify
FIR-000092,CT-043,BNS TBD - verify
FIR-000093,CT-023,BNS TBD - verify
FIR-000094,CT-010,BNS 318
FIR-000095,CT-003,BNS 304
FIR-000096,CT-022,BNS TBD - verify
FIR-000097,CT-021,BNS TBD - verify
