accused_id,phone_id,ownership_type,link_fir_id
ACC-00461,PHN-00552,registered,FIR-002853
ACC-04455,PHN-00263,registered,FIR-002259
ACC-03587,PHN-02178,registered,FIR-001010
ACC-02577,PHN-01313,registered,FIR-000458
ACC-03827,PHN-01536,registered,FIR-000121
ACC-02053,PHN-02131,registered,FIR-001741
ACC-00330,PHN-00581,registered,FIR-000349
ACC-03706,PHN-00603,used,FIR-001370
ACC-03187,PHN-00630,registered,FIR-002918
ACC-00573,PHN-01928,registered,FIR-001424
ACC-00183,PHN-00860,registered,FIR-000774
ACC-02450,PHN-01120,registered,FIR-001249
ACC-00345,PHN-01771,registered,FIR-002471
ACC-04075,PHN-00058,used,FIR-000880
ACC-00496,PHN-01998,registered,FIR-003019
ACC-01476,PHN-00765,registered,FIR-001160
ACC-03451,PHN-00929,registered,FIR-001972
ACC-04451,PHN-00308,registered,FIR-001960
ACC-00875,PHN-01328,registered,FIR-002329
ACC-02684,PHN-00605,registered,FIR-001658
ACC-02168,PHN-00077,registered,FIR-001399
ACC-00237,PHN-00325,registered,FIR-000986
ACC-02695,PHN-02067,registered,FIR-003640
ACC-01448,PHN-00963,registered,FIR-003282
ACC-00135,PHN-02167,registered,FIR-001392
ACC-03345,PHN-01612,used,FIR-001583
ACC-00639,PHN-01396,used,FIR-003711
ACC-02705,PHN-00244,registered,FIR-000661
ACC-01570,PHN-00404,registered,FIR-000105
ACC-01109,PHN-00592,registered,FIR-002477
ACC-04394,PHN-01059,registered,FIR-001901
ACC-01113,PHN-02214,registered,FIR-002977
ACC-00302,PHN-02031,registered,FIR-002647
ACC-00676,PHN-00258,used,FIR-001183
ACC-03565,PHN-00701,registered,FIR-000033
ACC-03535,PHN-00567,registered,FIR-002409
ACC-01384,PHN-01123,registered,FIR-002447
ACC-04438,PHN-00625,registered,FIR-001263
ACC-01480,PHN-00104,registered,FIR-003058
ACC-02396,PHN-02188,registered,FIR-000279
ACC-02797,PHN-00182,registered,FIR-001798
ACC-03951,PHN-00006,registered,FIR-000831
ACC-01143,PHN-00164,used,FIR-000600
ACC-01554,PHN-01280,registered,FIR-003086
ACC-03429,PHN-01615,used,FIR-000762
ACC-02827,PHN-01659,registered,FIR-002346
ACC-00021,PHN-00438,registered,FIR-001047
ACC-02198,PHN-01748,registered,FIR-002634
ACC-03945,PHN-00606,registered,FIR-001597
ACC-03243,PHN-01316,registered,FIR-000483
ACC-00615,PHN-02093,used,FIR-002375
ACC-02371,PHN-01028,registered,FIR-001232
ACC-02098,PHN-00668,registered,FIR-000158
ACC-00668,PHN-00479,used,FIR-002519
ACC-01828,PHN-01234,registered,FIR-002199
ACC-04429,PHN-00487,used,FIR-001150
ACC-04314,PHN-01790,registered,FIR-001036
ACC-01585,PHN-00678,used,FIR-000474
ACC-01056,PHN-02119,registered,FIR-001331
ACC-00890,PHN-00786,registered,FIR-003693
ACC-01303,PHN-02108,registered,FIR-002857
ACC-03567,PHN-01963,registered,FIR-000602
ACC-00897,PHN-00356,registered,FIR-001114
ACC-04084,PHN-02229,registered,FIR-003546
ACC-02255,PHN-01588,registered,FIR-002393
ACC-03229,PHN-02182,registered,FIR-000448
ACC-02702,PHN-00962,registered,FIR-003093
ACC-02181,PHN-00130,registered,FIR-000419
ACC-04345,PHN-01831,registered,FIR-000273
ACC-00185,PHN-00382,used,FIR-001442
ACC-01508,PHN-01835,used,FIR-000845
ACC-03653,PHN-00103,registered,FIR-000487
ACC-04428,PHN-00092,registered,FIR-000450
ACC-01726,PHN-00545,registered,FIR-001998
ACC-02651,PHN-01530,registered,FIR-000808
ACC-03009,PHN-02040,registered,FIR-000868
ACC-02738,PHN-01388,registered,FIR-002709
ACC-04061,PHN-00573,registered,FIR-000620
ACC-03070,PHN-02052,used,FIR-000842
ACC-00247,PHN-01571,registered,FIR-002811
ACC-02303,PHN-01669,registered,FIR-001892
ACC-03540,PHN-01273,registered,FIR-000130
ACC-01732,PHN-00871,used,FIR-000339
ACC-03372,PHN-00776,registered,FIR-000173
ACC-00480,PHN-00437,registered,FIR-001929
ACC-01022,PHN-02072,registered,FIR-002205
ACC-04008,PHN-01394,registered,FIR-002893
ACC-03469,PHN-00687,registered,FIR-000205
ACC-03001,PHN-01454,registered,FIR-003037
ACC-04235,PHN-01474,used,FIR-003596
ACC-03940,PHN-01309,used,FIR-001154
ACC-04116,PHN-02218,registered,FIR-003716
ACC-01629,PHN-02053,registered,FIR-001325
ACC-02929,PHN-02141,registered,FIR-003651
ACC-00422,PHN-01766,registered,FIR-001113
ACC-03606,PHN-01169,registered,FIR-000193
ACC-00766,PHN-00001,registered,FIR-001865
ACC-00280,PHN-01715,registered,FIR-003401
ACC-00982,PHN-01762,registered,FIR-003075
ACC-02818,PHN-00569,used,FIR-002540
ACC-00002,PHN-00259,registered,FIR-003187
ACC-02768,PHN-01895,registered,FIR-002819
ACC-01991,PHN-00788,registered,FIR-001224
ACC-04004,PHN-02075,used,FIR-002043
ACC-03085,PHN-01631,registered,FIR-000236
ACC-03244,PHN-00466,registered,FIR-003120
ACC-00742,PHN-00683,used,FIR-002334
ACC-01874,PHN-00358,used,FIR-000166
ACC-03661,PHN-00867,registered,FIR-003225
ACC-03043,PHN-02022,registered,FIR-003390
ACC-01095,PHN-00340,registered,FIR-001514
ACC-00091,PHN-01348,registered,FIR-002515
ACC-02159,PHN-00848,registered,FIR-001764
ACC-04025,PHN-01704,used,FIR-003519
ACC-02045,PHN-00055,used,FIR-000817
ACC-01110,PHN-01400,registered,FIR-002948
ACC-01903,PHN-00547,registered,FIR-000684
ACC-03640,PHN-02221,used,FIR-003705
ACC-01849,PHN-01605,used,FIR-002708
ACC-02202,PHN-00924,registered,FIR-000717
ACC-03414,PHN-00463,used,FIR-000512
ACC-01736,PHN-00717,registered,FIR-003377
ACC-03509,PHN-00724,registered,FIR-003239
ACC-01809,PHN-01900,used,FIR-003403
ACC-02694,PHN-00775,registered,FIR-002818
ACC-03629,PHN-00744,registered,FIR-002680
ACC-03454,PHN-01015,used,FIR-002432
ACC-00627,PHN-01482,registered,FIR-002338
ACC-02637,PHN-01557,registered,FIR-002202
ACC-03012,PHN-00407,registered,FIR-001625
ACC-02494,PHN-00314,registered,FIR-002372
ACC-04138,PHN-00457,registered,FIR-003512
ACC-03598,PHN-01647,registered,FIR-003249
ACC-00886,PHN-01999,registered,FIR-002841
ACC-01007,PHN-01826,registered,FIR-000020
ACC-00727,PHN-01684,registered,FIR-000242
ACC-00814,PHN-01081,used,FIR-000052
ACC-04172,PHN-01069,registered,FIR-000011
ACC-01366,PHN-00971,registered,FIR-000286
ACC-03878,PHN-02197,used,FIR-001606
