accused_id,vehicle_id,ownership_type,link_fir_id
ACC-04258,VEH-00218,used,FIR-001799
ACC-04245,VEH-00327,used,FIR-000058
ACC-00485,VEH-00260,registered,FIR-000365
ACC-01549,VEH-00297,registered,FIR-003153
ACC-02652,VEH-00300,registered,FIR-001709
ACC-02910,VEH-00110,registered,FIR-000385
ACC-00859,VEH-00889,registered,FIR-001856
ACC-01022,VEH-00066,registered,FIR-002205
ACC-03482,VEH-00753,registered,FIR-001395
ACC-02920,VEH-00993,registered,FIR-000440
ACC-02342,VEH-00007,registered,FIR-001769
ACC-00029,VEH-01025,registered,FIR-001821
ACC-01322,VEH-01063,used,FIR-002354
ACC-02360,VEH-01258,registered,FIR-002614
ACC-01651,VEH-00531,registered,FIR-000521
ACC-01938,VEH-00484,used,FIR-001446
ACC-01787,VEH-00311,used,FIR-001048
ACC-03382,VEH-00572,registered,FIR-000208
ACC-03511,VEH-00299,used,FIR-001549
ACC-00011,VEH-00951,registered,FIR-001590
ACC-04434,VEH-00844,registered,FIR-000739
ACC-03793,VEH-00757,registered,FIR-003059
ACC-01086,VEH-00739,registered,FIR-001564
ACC-04271,VEH-01169,registered,FIR-001051
ACC-03129,VEH-01239,used,FIR-000537
ACC-03831,VEH-00622,registered,FIR-001771
ACC-04322,VEH-01296,registered,FIR-000374
ACC-01360,VEH-00268,registered,FIR-001151
ACC-04074,VEH-00457,registered,FIR-000652
ACC-01566,VEH-00658,registered,FIR-000656
ACC-03655,VEH-01244,registered,FIR-002740
ACC-01758,VEH-01123,registered,FIR-002840
ACC-00382,VEH-00521,registered,FIR-001839
ACC-04057,VEH-00388,used,FIR-001096
ACC-04161,VEH-01075,registered,FIR-002785
ACC-04003,VEH-00638,registered,FIR-002492
ACC-02733,VEH-01007,used,FIR-000691
ACC-01195,VEH-00289,used,FIR-003406
ACC-00739,VEH-00483,registered,FIR-003622
ACC-03852,VEH-00695,registered,FIR-003624
ACC-00217,VEH-00845,registered,FIR-003675
ACC-03312,VEH-00106,registered,FIR-003598
ACC-02688,VEH-00119,registered,FIR-002547
ACC-03703,VEH-00563,registered,FIR-000004
ACC-00154,VEH-00393,registered,FIR-002139
ACC-03422,VEH-00088,registered,FIR-000560
ACC-01886,VEH-01251,registered,FIR-002495
ACC-00904,VEH-00693,registered,FIR-002250
ACC-03727,VEH-01274,registered,FIR-002855
ACC-02483,VEH-00537,registered,FIR-000209
ACC-04292,VEH-00241,registered,FIR-000896
ACC-00042,VEH-01262,registered,FIR-002262
ACC-00054,VEH-01112,registered,FIR-000978
ACC-00586,VEH-00741,used,FIR-001081
ACC-02663,VEH-00057,registered,FIR-003456
ACC-01488,VEH-00553,registered,FIR-000702
ACC-01778,VEH-00564,registered,FIR-000888
ACC-01783,VEH-00907,registered,FIR-001804
ACC-02444,VEH-00102,registered,FIR-000936
ACC-02831,VEH-00662,used,FIR-003008
ACC-02572,VEH-01084,registered,FIR-001127
ACC-02506,VEH-00618,used,FIR-001123
ACC-00111,VEH-00527,used,FIR-003600
ACC-04276,VEH-00574,used,FIR-003652
ACC-04195,VEH-00719,registered,FIR-001381
ACC-03795,VEH-01273,registered,FIR-001668
ACC-03199,VEH-00485,registered,FIR-002078
ACC-00951,VEH-00842,used,FIR-000159
ACC-00239,VEH-01191,registered,FIR-000060
ACC-02518,VEH-00884,used,FIR-003646
ACC-00184,VEH-00771,used,FIR-000945
ACC-04122,VEH-01049,registered,FIR-000216
ACC-01761,VEH-00731,used,FIR-001467
ACC-03187,VEH-01206,registered,FIR-002918
ACC-01664,VEH-00182,used,FIR-000814
ACC-02448,VEH-00482,registered,FIR-000141
ACC-02935,VEH-00105,registered,FIR-001337
ACC-03900,VEH-00114,registered,FIR-001049
ACC-03039,VEH-01090,registered,FIR-003551
ACC-00703,VEH-01200,registered,FIR-003222
ACC-00660,VEH-00206,registered,FIR-003392
ACC-02349,VEH-00123,registered,FIR-002261
ACC-02949,VEH-00171,registered,FIR-002809
ACC-02080,VEH-00967,registered,FIR-002926
ACC-01535,VEH-00761,registered,FIR-001265
ACC-03531,VEH-00928,used,FIR-000594
ACC-01818,VEH-00562,registered,FIR-000899
ACC-04100,VEH-00824,registered,FIR-003263
ACC-03221,VEH-00435,registered,FIR-000329
ACC-00348,VEH-00426,registered,FIR-002024
ACC-02038,VEH-01046,registered,FIR-003270
ACC-02263,VEH-01156,registered,FIR-002211
ACC-03647,VEH-00984,registered,FIR-003009
ACC-04385,VEH-00541,registered,FIR-002966
ACC-02706,VEH-00028,registered,FIR-000730
ACC-02534,VEH-00410,registered,FIR-000269
ACC-02649,VEH-00054,registered,FIR-002298
