victim_id,fir_id,injury_severity,complaint_type
VIC-02644,FIR-000001,MINOR,SELF
VIC-01414,FIR-000002,NONE,SELF
VIC-01825,FIR-000002,SEVERE,SELF
VIC-01502,FIR-000003,SEVERE,SELF
VIC-02399,FIR-000004,MINOR,FAMILY_MEMBER
VIC-01494,FIR-000005,NONE,SELF
VIC-02442,FIR-000005,MINOR,SELF
VIC-01856,FIR-000006,NONE,SELF
VIC-01615,FIR-000007,NONE,SELF
VIC-02596,FIR-000008,MODERATE,THIRD_PARTY
VIC-01181,FIR-000009,MINOR,THIRD_PARTY
VIC-00968,FIR-000009,NONE,POLICE_SUO_MOTU
VIC-03166,FIR-000010,NONE,THIRD_PARTY
VIC-01895,FIR-000011,MINOR,SELF
VIC-00766,FIR-000012,NONE,SELF
VIC-02103,FIR-000013,MODERATE,SELF
VIC-01614,FIR-000013,NONE,SELF
VIC-03530,FIR-000014,MINOR,SELF
VIC-01864,FIR-000015,NONE,SELF
VIC-02622,FIR-000015,MINOR,SELF
VIC-01177,FIR-000016,MINOR,FAMILY_MEMBER
VIC-01618,FIR-000016,MINOR,FAMILY_MEMBER
VIC-02074,FIR-000017,NONE,FAMILY_MEMBER
VIC-02982,FIR-000017,NONE,THIRD_PARTY
VIC-00518,FIR-000018,MODERATE,SELF
VIC-01223,FIR-000019,NONE,THIRD_PARTY
VIC-00098,FIR-000020,NONE,SELF
VIC-02616,FIR-000021,MODERATE,SELF
VIC-00573,FIR-000022,MINOR,SELF
VIC-01856,FIR-000023,SEVERE,SELF
VIC-00808,FIR-000024,MINOR,SELF
VIC-03675,FIR-000025,MINOR,SELF
VIC-03725,FIR-000026,NONE,FAMILY_MEMBER
VIC-01454,FIR-000027,MODERATE,FAMILY_MEMBER
VIC-03471,FIR-000028,MINOR,SELF
VIC-00680,FIR-000029,NONE,SELF
VIC-00246,FIR-000030,NONE,SELF
VIC-01223,FIR-000031,NONE,FAMILY_MEMBER
VIC-01508,FIR-000032,NONE,SELF
VIC-01997,FIR-000033,MINOR,SELF
VIC-03068,FIR-000034,MINOR,SELF
VIC-01548,FIR-000035,NONE,FAMILY_MEMBER
VIC-02602,FIR-000035,NONE,SELF
VIC-01573,FIR-000036,NONE,SELF
VIC-02644,FIR-000036,SEVERE,SELF
VIC-00591,FIR-000037,MINOR,FAMILY_MEMBER
VIC-00272,FIR-000038,NONE,SELF
VIC-03224,FIR-000038,NONE,SELF
VIC-02022,FIR-000039,NONE,FAMILY_MEMBER
VIC-01404,FIR-000039,MINOR,POLICE_SUO_MOTU
VIC-01058,FIR-000040,MINOR,SELF
VIC-03040,FIR-000040,NONE,FAMILY_MEMBER
VIC-03422,FIR-000041,MODERATE,SELF
VIC-00927,FIR-000042,MODERATE,SELF
VIC-01232,FIR-000043,MINOR,FAMILY_MEMBER
VIC-01231,FIR-000044,MODERATE,SELF
VIC-03460,FIR-000045,MODERATE,THIRD_PARTY
VIC-03708,FIR-000045,NONE,SELF
VIC-03042,FIR-000046,NONE,FAMILY_MEMBER
VIC-02553,FIR-000047,MINOR,THIRD_PARTY
VIC-03643,FIR-000048,NONE,SELF
VIC-00126,FIR-000049,NONE,SELF
VIC-02015,FIR-000050,SEVERE,SELF
VIC-00959,FIR-000051,MINOR,SELF
VIC-01544,FIR-000052,MODERATE,SELF
VIC-00615,FIR-000053,MINOR,SELF
VIC-03310,FIR-000054,MINOR,SELF
VIC-00134,FIR-000055,NONE,POLICE_SUO_MOTU
VIC-03387,FIR-000056,MINOR,FAMILY_MEMBER
VIC-01269,FIR-000057,NONE,SELF
VIC-02517,FIR-000058,NONE,THIRD_PARTY
VIC-03376,FIR-000059,SEVERE,SELF
VIC-02521,FIR-000059,MODERATE,SELF
VIC-01894,FIR-000060,MINOR,SELF
VIC-00394,FIR-000061,MINOR,SELF
VIC-01388,FIR-000062,MINOR,FAMILY_MEMBER
VIC-02085,FIR-000063,NONE,FAMILY_MEMBER
VIC-01713,FIR-000063,MODERATE,SELF
VIC-01338,FIR-000064,NONE,SELF
VIC-00151,FIR-000064,NONE,FAMILY_MEMBER
