witness_id,fir_id,statement_date,statement_reliability
WIT-01307,FIR-000328,2024-08-23,HIGH
WIT-00016,FIR-000328,2024-08-31,HIGH
WIT-01387,FIR-001083,2025-04-20,HIGH
WIT-01376,FIR-003062,2022-05-13,MEDIUM
WIT-01295,FIR-002876,2024-07-15,MEDIUM
WIT-00514,FIR-002876,2024-07-16,HIGH
WIT-00442,FIR-002528,2021-03-14,HIGH
WIT-01140,FIR-002528,2021-03-09,MEDIUM
WIT-00910,FIR-002245,2024-08-14,HIGH
WIT-00388,FIR-001210,2025-07-28,MEDIUM
WIT-00575,FIR-000578,2022-11-25,MEDIUM
WIT-01438,FIR-001524,2024-07-14,HIGH
WIT-00002,FIR-001524,2024-07-17,HIGH
WIT-00195,FIR-000151,2022-04-25,HIGH
WIT-01105,FIR-003484,2022-02-19,HIGH
WIT-00490,FIR-001893,2024-05-20,HIGH
WIT-00711,FIR-002534,2021-08-31,HIGH
WIT-01035,FIR-001619,2021-10-10,HIGH
WIT-01255,FIR-003125,2025-12-25,HIGH
WIT-01120,FIR-001560,2025-03-19,HIGH
WIT-01032,FIR-002531,2021-06-24,MEDIUM
WIT-00303,FIR-002477,2023-04-03,HIGH
WIT-00836,FIR-003336,2023-07-18,HIGH
WIT-00611,FIR-002608,2025-11-12,HIGH
WIT-01103,FIR-003083,2023-08-15,HIGH
WIT-01115,FIR-001855,2023-08-10,HIGH
WIT-00593,FIR-002070,2024-09-10,HIGH
WIT-00429,FIR-003585,2023-01-16,HIGH
WIT-01135,FIR-003585,2023-01-19,HIGH
WIT-00808,FIR-001071,2024-11-01,MEDIUM
WIT-01436,FIR-000672,2024-09-30,HIGH
WIT-00582,FIR-000133,2021-07-29,HIGH
WIT-00888,FIR-000253,2021-07-13,HIGH
WIT-01393,FIR-002652,2023-08-17,HIGH
WIT-01413,FIR-000277,2022-07-11,HIGH
WIT-00367,FIR-001172,2023-12-19,MEDIUM
WIT-00149,FIR-000348,2025-06-25,MEDIUM
WIT-01261,FIR-001140,2022-08-10,HIGH
WIT-00214,FIR-003434,2024-03-16,HIGH
WIT-00875,FIR-003434,2024-03-07,HIGH
WIT-00090,FIR-001105,2021-03-29,MEDIUM
WIT-00798,FIR-001105,2021-03-19,HIGH
WIT-00906,FIR-000559,2022-08-02,MEDIUM
WIT-01299,FIR-001055,2024-02-25,HIGH
WIT-00275,FIR-001607,2021-04-11,HIGH
WIT-00853,FIR-001607,2021-04-13,MEDIUM
WIT-00964,FIR-000057,2023-05-18,MEDIUM
WIT-00716,FIR-002629,2022-02-19,LOW
WIT-00434,FIR-001949,2025-07-02,MEDIUM
WIT-00521,FIR-001949,2025-06-24,HIGH
WIT-00032,FIR-000913,2023-03-12,HIGH
WIT-01057,FIR-000913,2023-03-07,HIGH
WIT-00709,FIR-003450,2025-02-27,LOW
WIT-00911,FIR-002001,2021-11-15,HIGH
WIT-01346,FIR-000695,2025-02-26,MEDIUM
WIT-00933,FIR-001011,2022-04-22,MEDIUM
WIT-00136,FIR-002890,2024-10-30,MEDIUM
WIT-00340,FIR-003457,2025-08-10,MEDIUM
WIT-00321,FIR-003457,2025-08-06,MEDIUM
WIT-01125,FIR-002185,2025-12-25,HIGH
WIT-01202,FIR-001734,2021-04-21,HIGH
WIT-00804,FIR-000278,2022-07-09,HIGH
WIT-01244,FIR-002943,2025-10-21,HIGH
WIT-00671,FIR-002943,2025-10-15,HIGH
WIT-00571,FIR-001450,2023-02-27,HIGH
WIT-00111,FIR-002371,2021-12-11,MEDIUM
WIT-00346,FIR-002371,2021-12-13,HIGH
WIT-01230,FIR-001509,2024-04-10,MEDIUM
WIT-00491,FIR-001509,2024-04-12,HIGH
WIT-01391,FIR-003676,2023-07-21,HIGH
WIT-00527,FIR-003676,2023-07-21,MEDIUM
WIT-01152,FIR-002126,2022-08-28,MEDIUM
